rating,restaurant_id,review,timestamp,user_id,user_name
,lIfGtbTIs0iFY-FO2fTeXg,What a darling neighborhood spot! Lots of takeout orders while we enjoyed the patio. Food was delicious... wish there were more mushrooms in my curry. Ha!...,2020-09-03 19:42:33,qsvF7iQ8kHKFqDo9HccYLA,Teri M.
,glv_p4Ja9yFaIMF1rP4utg,Love the veggie curry and chicken karaage! Tastes good and authentic. Prices are reasonable and love the neighborhood vibe. Nice little patio. Great...,2020-09-29 08:08:39,NJVkWqKTtaR3w9zOMl-zAw,Tiger H.
,6pwyJnB024AP2z9K4O1YsA,We have been waiting for this restaurant to open- so excited to get a new place to go in the neighborhood!  And Okome did not disappoint!  We got takeout-...,2020-08-29 17:32:02,W08sB7PohxU0z3csKM8ihg,Maggie B.
,MJETH4iL5OFnuhZ3AdW_5A,"This is the BEST Korean food place in MN! Even during the pandemic they are still able to make such quality, delicious food. I'm originally from Koreatown...",2020-08-15 17:13:26,gleOsBEFdHGQUJu9p0lijA,Abbey C.
,LtBzaUimLaJeOEzoNkinAw,Love this place so much! I work close by so it was always a great option for me if I didn't pack a lunch. I also ventured over for takeout during the...,2020-07-12 12:35:56,Cz_I-lkHk4wBQx7i3UN04A,Anila Y.
,jCLad87USD9j7JI0bqnHqA,This place takes social distancing very seriously and I appreciate it. I felt confident my food was properly and safely prepared. My husband got bibimbap. I...,2020-07-20 16:59:24,k2lHZN8uJ84SrD2z85rcWA,Lidiya L.
,qOMOAExF9XOTFGbNSMM9xg,"This is the best Mediterranean food I have had since the old Java on Nicolette (Mohammed Samaha). In other words, it has been YEARS since I have had this...",2020-10-11 12:38:13,TjQxvguf_kR3fQ8W5_OHzg,Sarah K.
,KV8NZrIQi26lnJrsX8y4Og,"Very cute little place with amazing food! We had the falafel pita with sweet potato fries and it might have been the best over ever had! 
Service was fast...",2020-08-24 14:48:54,zZUEQ6H7_cr4exhnhro2ZQ,Taya B.
,nVd-JCOX2GTw5IR9g5dpZQ,One of my favorite Mediterranean restaurants! I've ordered here several times and it never disappoints. I like to order the gyro pita which i highly...,2020-09-26 15:42:20,5UgTAODbiJ1P9Qo5V_8X4A,Sarah S.
,d9FB8U7ciSeP6LPQGK-PBw,I am so glad this restaurant is operating during Covid with social distancing and all other things in place. It is adorable hidden away from the Hussle and...,2020-07-09 14:52:31,1_i42G-exZoyBdCirzYWBQ,Linda S.
,1qSVVXIg6D88XP4jiffrdw,"Have you tried Red Cow's takeout service yet? If not, you really need to. These guys and gals are still serving up amazing quality food.

 I had originally...",2020-03-22 10:40:23,VHtsWrs7l8d0Y-CBGDtRtw,Lorene F.
,qudGd-PxHb0F_kV2MVQJNw,We boomeranged back for Red Cow take out in North Loop Last night. Great experience ordering online. We pulled up right in front of Red Cow and an employee...,2020-04-04 08:25:29,4POllbVXl-vaPtOlyn4esw,Doug R.
,gzjh_fiDNYRTm6GmuXYG-g,Ok I feel a little bad saying it since I do love a few others too but this is now by far my favorite korean restaurant in the train cities. I feel like I'm...,2020-09-12 14:26:30,binxGmKW0utpZVooa_dz4g,j e.
,XyDCRA1aZFXfjFOgQFeKyA,"Ive been here a couple of times since they opened and tried quite a few of their stuff. 
Definitely tho try their tonkatsu & sweet and sour pork! Literally...",2020-08-13 11:07:35,h1TcT01LP2-h2Fb6qYYVEw,Enock S.
,3C0ypHZKnBKl_Gcfq6kbmA,"This place is located in a food court setting by the U of M in the newly opened University Food
Hall.  Due to Covid not all stations were open. It's mainly...",2020-09-11 18:36:42,_GKsGHL_jAj2BqVafdf57Q,Tracee T.
,jlh7y08gwXbmPFPsaesdBw,Yum yum!  The Hawaiian chicken is so tasty.  Super crispy slices of panko coated chicken breast (2 per order) on top of a bed of spring salad mix and what...,2020-08-27 15:03:17,8FzANiv-GyqHRmuTIcBpyw,Alex L.
,lp2rS737fhHCwxBovgJUmg,Young Man is a great new restaurant.  I ordered their take out during the Great Quarantine 2020 and my experience was excellent.  They know how to make...,2020-06-21 16:01:58,6HYmy9AWEdp-rfTtCKZUVw,Kevin L.
