user_id,restaurant_id,rating
iqS1mA7zdFEUIjz8KW5oVw,D799KG1dx-Vf3zpZ5JreSQ,5
hHeyv-uAGMn3pyaswmkzrg,Sx78U_0np04cZwBYUIDZ4g,5
ftaFFF1-9md-nhm7QqhfrQ,QswObuJ7dLFadPl_iPJcgA,4
ttCKlOKicxWLchdl1qsMgQ,KG7lVQvWQbBN4p7B7XMlhg,5
IyDE1kaZu4Ho5skVxe4Jmg,MYCNWMGp0e9iVN6I6SUIRg,4
WP7BAr6ssVaCvvIt_BKyYQ,vcyNp7DivsNth-8NikBh9g,3
Sg8jj6BO8AoGlKz54lHh8Q,hia3_i2OcZj_18v9LZ-wfg,5
2LgAn3XIW_wYubsTs3r-kQ,0vUzpY5hZ7LB7N09yICwdg,5
w_Ru_isrLBtbdtxro5TYEg,pMQOGhmtJsOXlH5z5kUZyg,5
Jljum8MVQ2l067RzRqWJqQ,p0Q7Capy-TtY8pfvCCG0nQ,5
7J4-BQVYL9xiExw0p5oo-Q,xvpsEYi1aqUm5_zP4flX5Q,5
S6ZrsS9rikyzOvqyPepHBw,hOUmrJl9b7BBJLJvgQ4J0w,5
-R3nGL-2QKCpoGgr98AQQA,wa6q9k5hepvGGcEDtwymVg,5
3u41kQ2HLI8erkIkBPU6vQ,Z9evB7CmpuVa3-lWiUOUBQ,4
KbyMAaYWTilS5BidYqngtg,zCyETdBoABD0LaoT2zXP2A,4
RIV0GB-qxyNxHh0z-tAGtA,640ZXrsLMUkTEmG8Enir2Q,5
32R05jADb6HQJPzFIRYJ9g,nXFe3mfg877i3z7mfnu8Lg,5
7W3piZHZo8kq41h7Jv-dfw,eXRYSE4pYN4AO-_siJafiw,5
1_i42G-exZoyBdCirzYWBQ,d9FB8U7ciSeP6LPQGK-PBw,5
VHtsWrs7l8d0Y-CBGDtRtw,1qSVVXIg6D88XP4jiffrdw,5
4POllbVXl-vaPtOlyn4esw,qudGd-PxHb0F_kV2MVQJNw,5
bDm2qEbHAA9qq2u_FR9zBA,GfBVaFpRD1xLFq8UKtZopA,5
YEQkKxZ4uhK7Oz3cJQVzgA,Fxglxx6p9k0wMWQk93G5sA,5
KxceI32nTv1rdL4GwpL5pw,VYKlILsN27-sXIVCfQaI9A,5
059xgvcOy8-_AWnUcjYCfw,XQ70wOGoPQTEqAvlsEACpw,5
2-XLTj0Cfd81_XlmHo02Aw,2pVV7jhn8_F_qhheCfdARg,5
Ibm0F3tRC7bCHYrmYMY84g,SxPqobf6VoAS4rIfH3A3hw,5
X9LMehjM4BlGbE-AAuJDoA,Mg3h1rax9hZ2Fo5ktMen4Q,5
y-4UFiUxUpBddI_ZXh6pKw,odxjvQkZE4c9hAcvfvNC-Q,5
zG718VEI80bd0bbfVqe9Rw,eaOLMr8WM4hhyiCvIiV7jA,5
RyjIPVmto35ZKxBQwrEV8w,01zwoS1XLvXr6i4PeFSZ7w,5
GGdnMcaGNcmWrTVJmTcH4Q,RDGwnxmCu_Ulbnva80FjSA,5
mtxB_23HfrZTqQeIdhOFDw,Rsa7P9cQaLRvsjNuJp4waw,5
-thw19l4MzVBAX1GMyKP7A,41ts-R-kPQZLTgcURw97cA,5
YEQkKxZ4uhK7Oz3cJQVzgA,XwfpIKvo0xDKd3aEVTnHcA,5
PZOIHeULGKze05SgtY1bEg,91Owfq-2UMXqNyR9XfZ1BQ,5
pqSoCdAwGjQIA1jSA2InCA,25ntqJoZnwzuLYAwe44sKw,5
ghvRMIcza52uNX9-9o3-kQ,UNoGvbmnbfxNJ9mheeNWlQ,5
K0ZArBXsfOgG0b7eK-cbyA,PDska0lW_SLqgn8o3QWkgw,5
Y1Gw-UPOODsXNSaF3Xu5WA,gslRoTp1uS19smhawAuuyg,5
JaAjL0TNstIw1ze-NlBFMw,zV45CTAkhJSkX0XmlWqeVg,5
SLk_bmuVW8GFKdwE3lqBUA,ZnI3QSjAQpeRr1Cjw-UrAg,5
u2Hg9Bf6aCIPOwx3kFYaFg,G2MaAVz6uXcytjH4f6CPSA,5
yT5VuBxzYiBEwNO0VDA-SQ,2XKa5tUhE57Q5yQN2VsyKg,5
TKtVBE9DKFRRdOdwhn0SZA,10WjxH-33bKCiFN757ihuA,2
YXfOQRCl9wEJaWxilSR0tg,LDgorJ7pY8nZjJF6wFLErQ,5
akv8uZ1X6POqCWXYcnbXfA,vsehMNoGb7neH_cyCEVERA,5
OqTgeGJNQdmdQOxUSWEG0w,wbIoc0TAmcWyCX_dtybz9Q,5
SyRtlHjGW7F25jJaZ4Wvhw,d-rq87rKdCi_YmnFHU5nWQ,5
ochwvH4DdoXeHj5MCGv36A,UO3qPzf5lBfrz0laa7xP3A,5
ftaFFF1-9md-nhm7QqhfrQ,WPI9Cz-gZQP7sV32gjPFng,5
