name,categories,coordinates
Pad Ga Pow,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'noodles', 'title': 'Noodles'}]","{'latitude': 44.9763031005859, 'longitude': -93.2744216918945}"
Travail Kitchen & Amusements,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'scandinavian', 'title': 'Scandinavian'}]","{'latitude': 45.030006, 'longitude': -93.33904}"
Fhima’s Minneapolis,"[{'alias': 'french', 'title': 'French'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 44.97737, 'longitude': -93.27309}"
Manny's Steakhouse,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 44.97443, 'longitude': -93.27179}"
Pho Mai Dinkytown,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}]","{'latitude': 44.98014, 'longitude': -93.23644}"
Curry Diva,"[{'alias': 'popuprestaurants', 'title': 'Pop-Up Restaurants'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'srilankan', 'title': 'Sri Lankan'}]","{'latitude': 44.937560321155, 'longitude': -93.2901471108198}"
Trieste Café,"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'greek', 'title': 'Greek'}]","{'latitude': 44.9791073, 'longitude': -93.2714257}"
Monte Carlo,"[{'alias': 'steak', 'title': 'Steakhouses'}]","{'latitude': 44.98472, 'longitude': -93.27174}"
Kieran's Irish Pub,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'irish', 'title': 'Irish'}]","{'latitude': 44.9788017272949, 'longitude': -93.2748489379883}"
Hop21,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 44.97838, 'longitude': -93.26121}"
Malabari Kitchen,"[{'alias': 'indpak', 'title': 'Indian'}]","{'latitude': 44.9695839447033, 'longitude': -93.2474075952454}"
Banh Appetit,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 44.9820493, 'longitude': -93.2348282263}"
Minneapolis Town Hall Brewery,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'breweries', 'title': 'Breweries'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 44.97339, 'longitude': -93.24779}"
Day Block Brewing Company - Pizza Place & Brewpub,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'breweries', 'title': 'Breweries'}, {'alias': 'pubs', 'title': 'Pubs'}]","{'latitude': 44.9752002794334, 'longitude': -93.2531038920654}"
Soul Fu,"[{'alias': 'soulfood', 'title': 'Soul Food'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]","{'latitude': 44.987941, 'longitude': -93.278038}"
Zakia Deli,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'lebanese', 'title': 'Lebanese'}]","{'latitude': 44.99478, 'longitude': -93.22637}"
Hard Times Café,"[{'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 44.969483, 'longitude': -93.246147}"
Grande Sunrise Mexican Restaurant,"[{'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'seafood', 'title': 'Seafood'}]","{'latitude': 44.90189, 'longitude': -93.2233399}"
Cafe Racer Kitchen,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'latin', 'title': 'Latin American'}]","{'latitude': 44.95719, 'longitude': -93.22865}"
Graze | Provisions + Libations,"[{'alias': 'food_court', 'title': 'Food Court'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]","{'latitude': 44.9847838, 'longitude': -93.2771236}"
Tavola Italian Kitchen & Bar,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 44.97226, 'longitude': -93.26633}"
The Six15 Room,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'lounges', 'title': 'Lounges'}]","{'latitude': 44.975992, 'longitude': -93.2687920331954}"
Hamdi Restaurant,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'somali', 'title': 'Somali'}]","{'latitude': 44.94862, 'longitude': -93.2619}"
Black Sea Restaurant,"[{'alias': 'turkish', 'title': 'Turkish'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]","{'latitude': 44.963462, 'longitude': -93.167263}"
Spitz,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 44.98914, 'longitude': -93.25228}"
Khun Nai Thai Cuisine,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'wraps', 'title': 'Wraps'}]","{'latitude': 44.95649, 'longitude': -93.27747}"
Zelo,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 44.975065, 'longitude': -93.273613}"
Fish Bowl Poke,"[{'alias': 'hawaiian', 'title': 'Hawaiian'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'poke', 'title': 'Poke'}]","{'latitude': 44.985067, 'longitude': -93.277597}"
Taqueria Mi Guanajuato,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 44.9321834995142, 'longitude': -93.2219841331244}"
Habanero Tacos Grill,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 44.94809, 'longitude': -93.22468}"
Stray Dog,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 44.9888, 'longitude': -93.2549}"
Uncle Franky's,"[{'alias': 'hotdog', 'title': 'Hot Dogs'}, {'alias': 'burgers', 'title': 'Burgers'}]","{'latitude': 44.9985084533691, 'longitude': -93.2514114379883}"
Jefe Urban Cocina,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]","{'latitude': 44.9841318058663, 'longitude': -93.2540951613423}"
Hammer & Sickle,"[{'alias': 'russian', 'title': 'Russian'}, {'alias': 'modern_european', 'title': 'Modern European'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 44.9494208824904, 'longitude': -93.2962444498114}"
Oliver's A Confectionery,"[{'alias': 'restaurants', 'title': 'Restaurants'}]","{'latitude': 44.96241, 'longitude': -93.2876}"
Taqueria La Hacienda,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 44.948756, 'longitude': -93.270776}"
Lola's Cafe,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'foodstands', 'title': 'Food Stands'}]","{'latitude': 44.948084, 'longitude': -93.30636}"
$5 Pizza,"[{'alias': 'pizza', 'title': 'Pizza'}]","{'latitude': 44.96247, 'longitude': -93.27437}"
Prima Pasta Salads Panini,"[{'alias': 'italian', 'title': 'Italian'}]","{'latitude': 44.9061499, 'longitude': -93.28761}"
Broders Cucina Italiana,"[{'alias': 'italian', 'title': 'Italian'}]","{'latitude': 44.9126091, 'longitude': -93.3090591}"
Ray J's American Grill,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}]","{'latitude': 44.98887427, 'longitude': -93.25294723}"
Sikora's Polish Market & Deli,"[{'alias': 'grocery', 'title': 'Grocery'}, {'alias': 'polish', 'title': 'Polish'}, {'alias': 'delis', 'title': 'Delis'}]","{'latitude': 45.0049758, 'longitude': -93.2575355}"
Stilheart Distillery & Cocktail Lounge,"[{'alias': 'distilleries', 'title': 'Distilleries'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 44.98575, 'longitude': -93.27118}"
Pupuseria El Rincon Salvadoreno,"[{'alias': 'salvadoran', 'title': 'Salvadoran'}]","{'latitude': 44.948092, 'longitude': -93.2529}"
Campus Cafe - Turkish Grill,"[{'alias': 'turkish', 'title': 'Turkish'}]","{'latitude': 44.9701096, 'longitude': -93.2466637}"
Grand Café,"[{'alias': 'french', 'title': 'French'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'desserts', 'title': 'Desserts'}]","{'latitude': 44.933839, 'longitude': -93.284657}"
Pig Ate My Pizza,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'brewpubs', 'title': 'Brewpubs'}]","{'latitude': 45.030444, 'longitude': -93.337883}"
The Oceanaire Seafood Room,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'fishnchips', 'title': 'Fish & Chips'}]","{'latitude': 44.978151, 'longitude': -93.271725}"
REVEAL Rooftop Bar & Lounge,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]","{'latitude': 44.969505, 'longitude': -93.344206}"
Szechuan Spice,"[{'alias': 'szechuan', 'title': 'Szechuan'}]","{'latitude': 44.94766, 'longitude': -93.28861}"
Clancey's Meats and Fish,"[{'alias': 'meats', 'title': 'Meat Shops'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'butcher', 'title': 'Butcher'}]","{'latitude': 44.924268, 'longitude': -93.3145185}"
Beast Barbecue,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'bbq', 'title': 'Barbeque'}]","{'latitude': 44.99154817, 'longitude': -93.24706417}"
Daily Cairo Grill,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'african', 'title': 'African'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 44.96315, 'longitude': -93.2629471}"
Aster Cafe,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]","{'latitude': 44.9846149557524, 'longitude': -93.2550563269837}"
Firelake Grill House & Cocktail Bar,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 44.97698016, 'longitude': -93.27367659}"
North Loop Galley,"[{'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 44.98795, 'longitude': -93.27803}"
Sidewalk Kitchen,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]","{'latitude': 44.9738136, 'longitude': -93.2263274}"
Hong Kong Noodle,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'seafood', 'title': 'Seafood'}]","{'latitude': 44.9738173366585, 'longitude': -93.2254046201705}"
La Fresca,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 44.9163489289451, 'longitude': -93.2846475765109}"
Fat Lorenzo's,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]","{'latitude': 44.9008511, 'longitude': -93.2477544}"
Reverie Cafe + Bar,"[{'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 44.939387, 'longitude': -93.252712}"
Barbette,"[{'alias': 'french', 'title': 'French'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 44.948498, 'longitude': -93.302242}"
J.D. Hoyt's,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'seafood', 'title': 'Seafood'}]","{'latitude': 44.98441, 'longitude': -93.27306}"
Hi-Lo Diner,"[{'alias': 'diners', 'title': 'Diners'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]","{'latitude': 44.94863, 'longitude': -93.21436}"
Red Rabbit,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 44.983694, 'longitude': -93.271747}"
Que Viet,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'vietnamese', 'title': 'Vietnamese'}]","{'latitude': 45.0099411, 'longitude': -93.2368927}"
Walt'z Wings & Bar-B-Que,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'soulfood', 'title': 'Soul Food'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]","{'latitude': 44.9774856567383, 'longitude': -93.2643661499023}"
Pizza Luce,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]","{'latitude': 44.9817201167802, 'longitude': -93.2734656415651}"
Taberna Street Tacos,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}]","{'latitude': 44.94858, 'longitude': -93.319576}"
Broadway Chow Mein,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}]","{'latitude': 44.99855, 'longitude': -93.2868}"
The Lowbrow,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 44.92542, 'longitude': -93.2783199}"
Global Village,"[{'alias': 'venezuelan', 'title': 'Venezuelan'}]","{'latitude': 44.969968, 'longitude': -93.247458}"
Aida,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'egyptian', 'title': 'Egyptian'}]","{'latitude': 44.88383, 'longitude': -93.30783}"
Dong Yang Oriental Food,"[{'alias': 'korean', 'title': 'Korean'}]","{'latitude': 45.050463, 'longitude': -93.251678}"
Eli's Food & Cocktails,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'pubs', 'title': 'Pubs'}]","{'latitude': 44.97419, 'longitude': -93.281344}"
The Mill Northeast,"[{'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 45.007732, 'longitude': -93.247107}"
Quruxlow,"[{'alias': 'somali', 'title': 'Somali'}]","{'latitude': 44.948613, 'longitude': -93.254254}"
Purple People Feeder,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'catering', 'title': 'Caterers'}, {'alias': 'bbq', 'title': 'Barbeque'}]","{'latitude': 44.941360865928, 'longitude': -93.341215364635}"
Taco Teresa's,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 44.98641, 'longitude': -93.40901}"
Valentino Cafe,"[{'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 44.97367, 'longitude': -93.27188}"
Eggy's - Minneapolis,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'diners', 'title': 'Diners'}, {'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 44.968917, 'longitude': -93.280511}"
Centro,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 45.0024553374346, 'longitude': -93.2513416054248}"
Catrinas Cerveza & Grill,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}]","{'latitude': 45.0135441, 'longitude': -93.2246919}"
Chino Latino,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'latin', 'title': 'Latin American'}]","{'latitude': 44.94859, 'longitude': -93.29867}"
Wholesoul a Lavender & Sage Eatery,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'catering', 'title': 'Caterers'}, {'alias': 'soulfood', 'title': 'Soul Food'}]","{'latitude': 44.9398026, 'longitude': -93.2533339}"
Sonora Grill,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 44.948689, 'longitude': -93.2239309}"
The News Room,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'lounges', 'title': 'Lounges'}]","{'latitude': 44.9742604, 'longitude': -93.2746881}"
Merlins Rest Pub,"[{'alias': 'irish_pubs', 'title': 'Irish Pub'}, {'alias': 'british', 'title': 'British'}, {'alias': 'burgers', 'title': 'Burgers'}]","{'latitude': 44.9480933, 'longitude': -93.2202124}"
Ichiddo Ramen,"[{'alias': 'ramen', 'title': 'Ramen'}]","{'latitude': 44.9533206, 'longitude': -93.2784367}"
Potter's Pasties & Pies,"[{'alias': 'british', 'title': 'British'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]","{'latitude': 44.9878175, 'longitude': -93.2269062}"
RCK Soul Food,"[{'alias': 'soulfood', 'title': 'Soul Food'}, {'alias': 'southern', 'title': 'Southern'}]","{'latitude': 45.05494, 'longitude': -93.37512}"
Republic,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'pubs', 'title': 'Pubs'}]","{'latitude': 44.97319, 'longitude': -93.24692}"
Meseret Ethiopian Restaurant,"[{'alias': 'ethiopian', 'title': 'Ethiopian'}]","{'latitude': 44.93257, 'longitude': -93.22232}"
Heather's,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 44.908733, 'longitude': -93.262259}"
Zoe's Cafe,"[{'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 44.94813, 'longitude': -93.29044}"
Black Sheep Coal Fired Pizza,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'italian', 'title': 'Italian'}]","{'latitude': 44.98731, 'longitude': -93.27571}"
Smith & Porter Restaurant + Bar,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 44.98038, 'longitude': -93.26139}"
Sushi Train,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'conveyorsushi', 'title': 'Conveyor Belt Sushi'}]","{'latitude': 44.971904, 'longitude': -93.276914}"
Cajun Boiling,"[{'alias': 'cajun', 'title': 'Cajun/Creole'}]","{'latitude': 44.9628299, 'longitude': -93.27743}"
Halwo Kismayo & Grill,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'halal', 'title': 'Halal'}, {'alias': 'african', 'title': 'African'}]","{'latitude': 44.94888, 'longitude': -93.25211}"
Cam Ranh Bay,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}]","{'latitude': 44.92427, 'longitude': -93.40896}"
The Library Lounge,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 44.97604, 'longitude': -93.27691}"
Krispy Krunchy Chicken,"[{'alias': 'chickenshop', 'title': 'Chicken Shop'}]","{'latitude': 44.99939, 'longitude': -93.2952}"
The Lowry,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 44.9615211, 'longitude': -93.29268249}"
Runyon's,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'pubs', 'title': 'Pubs'}]","{'latitude': 44.98289, 'longitude': -93.27094}"
Gasthof Zur Gemutlichkeit,"[{'alias': 'german', 'title': 'German'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]","{'latitude': 45.01144, 'longitude': -93.26348}"
Taqueria La Vaquita,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 44.927191, 'longitude': -93.231272}"
Andy's Diner,"[{'alias': 'diners', 'title': 'Diners'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 44.94864, 'longitude': -93.30103}"
The Block,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 44.938827, 'longitude': -93.365667}"
Standish Cafe,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 44.93396, 'longitude': -93.23679}"
Black Forest Inn,"[{'alias': 'german', 'title': 'German'}]","{'latitude': 44.9553413, 'longitude': -93.2774277}"
Vo's Vietnamese Restaurant,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}]","{'latitude': 44.939798, 'longitude': -93.288491}"
A Slice of New York,"[{'alias': 'pizza', 'title': 'Pizza'}]","{'latitude': 44.9589542099465, 'longitude': -93.2777589606123}"
Buca di Beppo Italian Restaurant,"[{'alias': 'italian', 'title': 'Italian'}]","{'latitude': 44.9739482622623, 'longitude': -93.280038535595}"
Afandina Cafe,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}]","{'latitude': 45.0413, 'longitude': -93.26236}"
Good Times,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'salad', 'title': 'Salad'}]","{'latitude': 44.93423, 'longitude': -93.28399}"
Roti Modern Mediterranean,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 44.9667993, 'longitude': -93.349984}"
Taste of Africa Restaurant & Deli,"[{'alias': 'ethiopian', 'title': 'Ethiopian'}]","{'latitude': 44.9625345, 'longitude': -93.23831883}"
Tooties On Lowry,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'divebars', 'title': 'Dive Bars'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]","{'latitude': 45.01344, 'longitude': -93.31495}"
Vellee Deli,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 44.9762567, 'longitude': -93.270768}"
Cahill Bistro,"[{'alias': 'latin', 'title': 'Latin American'}]","{'latitude': 44.874884, 'longitude': -93.362744}"
Bellecour Bakery,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 44.985891, 'longitude': -93.269113}"
La Michoacana,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 44.9482393688344, 'longitude': -93.2507565245032}"
Agra Culture,"[{'alias': 'gluten_free', 'title': 'Gluten-Free'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]","{'latitude': 44.9123751, 'longitude': -93.3269156}"
Travail Minneapolis Residency,"[{'alias': 'popuprestaurants', 'title': 'Pop-Up Restaurants'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 44.96327, 'longitude': -93.2914}"
Coconut Thai,"[{'alias': 'thai', 'title': 'Thai'}]","{'latitude': 44.9128664704997, 'longitude': -93.331469128877}"
Jax Café,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'seafood', 'title': 'Seafood'}]","{'latitude': 45.00834, 'longitude': -93.26352}"
Milton's,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'soulfood', 'title': 'Soul Food'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 45.021411, 'longitude': -93.3600769}"
JUN,"[{'alias': 'szechuan', 'title': 'Szechuan'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 44.98873, 'longitude': -93.27772}"
CRISP & GREEN,"[{'alias': 'salad', 'title': 'Salad'}, {'alias': 'soup', 'title': 'Soup'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]","{'latitude': 44.9861519, 'longitude': -93.2743597}"
Tap Society,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]","{'latitude': 44.91976, 'longitude': -93.28407}"
Parallel,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]","{'latitude': 44.97987, 'longitude': -93.2838}"
Keefer Court Bakery & Café,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'chinese', 'title': 'Chinese'}]","{'latitude': 44.9705772399902, 'longitude': -93.2475814819336}"
Hen House Eatery,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]","{'latitude': 44.9752558913143, 'longitude': -93.2713201229745}"
Amazing Thailand,"[{'alias': 'thai', 'title': 'Thai'}]","{'latitude': 44.9474286384202, 'longitude': -93.2987386313523}"
Kyatchi,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]","{'latitude': 44.9343347, 'longitude': -93.2781296}"
Tacos Nacho,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 44.948290386183, 'longitude': -93.223048299551}"
Whole Sum Kitchen,"[{'alias': 'salad', 'title': 'Salad'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'acaibowls', 'title': 'Acai Bowls'}]","{'latitude': 44.9124484, 'longitude': -93.2906016}"
Pog Mahone’s Pub & Grill,"[{'alias': 'irish_pubs', 'title': 'Irish Pub'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]","{'latitude': 44.9762539819119, 'longitude': -93.2557548188405}"
Avocadish,"[{'alias': 'salad', 'title': 'Salad'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]","{'latitude': 44.97916, 'longitude': -93.23471}"
Flamin Thai Cuisine,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]","{'latitude': 44.9728429526074, 'longitude': -93.247235659204}"
Stella's Fish Cafe & Prestige Oyster Bar,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'fishnchips', 'title': 'Fish & Chips'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]","{'latitude': 44.9485116248902, 'longitude': -93.2972311401238}"
East Village Grill,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'greek', 'title': 'Greek'}]","{'latitude': 44.9684295654297, 'longitude': -93.2575378417969}"
Pho Tau Bay,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}]","{'latitude': 44.9507294, 'longitude': -93.2775269}"
